epsilon-greedy,ucb1,ucb2,softmax,annealing-softmax,thompson
0.9156626506024096,0.6385542168674698,0.9036144578313253,0.7349397590361446,0.5783132530120482,0.8072289156626506
0.9166666666666666,0.6428571428571429,0.8928571428571429,0.7380952380952381,0.5833333333333334,0.7976190476190477
0.9176470588235294,0.6470588235294118,0.8941176470588236,0.7411764705882353,0.5882352941176471,0.8
0.9186046511627907,0.6395348837209303,0.8953488372093024,0.7325581395348837,0.5813953488372093,0.7906976744186046
0.9195402298850575,0.632183908045977,0.8850574712643678,0.7241379310344828,0.5862068965517241,0.7931034482758621
0.9204545454545454,0.625,0.875,0.7272727272727273,0.5909090909090909,0.7954545454545454
0.9213483146067416,0.6179775280898876,0.8651685393258427,0.7303370786516854,0.5842696629213483,0.797752808988764
0.9222222222222223,0.6111111111111112,0.8666666666666667,0.7333333333333333,0.5888888888888889,0.8
0.9230769230769231,0.6153846153846154,0.8571428571428571,0.7252747252747253,0.5934065934065934,0.7912087912087912
0.9239130434782609,0.6195652173913043,0.8586956521739131,0.7282608695652174,0.5978260869565217,0.7934782608695652
0.9247311827956989,0.6236559139784946,0.8602150537634409,0.7311827956989247,0.6021505376344086,0.7956989247311828
0.9148936170212766,0.6276595744680851,0.8617021276595744,0.7340425531914894,0.5957446808510638,0.7978723404255319
0.9157894736842105,0.631578947368421,0.8631578947368421,0.7368421052631579,0.6,0.8
0.9166666666666666,0.625,0.8645833333333334,0.7395833333333334,0.59375,0.8020833333333334
0.9175257731958762,0.6288659793814433,0.865979381443299,0.7422680412371134,0.5979381443298969,0.8041237113402062
0.9183673469387755,0.6326530612244898,0.8673469387755102,0.7448979591836735,0.6020408163265306,0.8061224489795918
0.9191919191919192,0.6363636363636364,0.8686868686868687,0.7373737373737373,0.6060606060606061,0.8080808080808081
0.92,0.63,0.87,0.74,0.61,0.81
0.9207920792079208,0.6237623762376238,0.8712871287128713,0.7425742574257426,0.6138613861386139,0.801980198019802
